sample,cnf-01-run-1,cnf-01-run-2,cnf-01-run-3,cnf-02-run-1,cnf-02-run-2,cnf-02-run-3,cnf-03-run-1,cnf-03-run-2,cnf-03-run-3,cnf-04-run-1,cnf-04-run-2,cnf-04-run-3,cnf-05-run-1,cnf-05-run-2,cnf-05-run-3,cnf-06-run-1,cnf-06-run-2,cnf-06-run-3,cnf-07-run-1,cnf-07-run-2,cnf-07-run-3,cnf-08-run-1,cnf-08-run-2,cnf-08-run-3,cnf-09-run-1,cnf-09-run-2,cnf-09-run-3
HG00310,True,True,True,True,True,True,False,False,True,False,True,False,True,False,True,True,True,False,False,True,False,False,True,False,True,False,True
HG00311,False,True,True,False,True,True,False,True,False,True,True,True,True,True,False,False,True,False,False,True,False,True,True,True,False,True,True
HG00313,False,True,True,False,True,True,False,True,False,False,False,False,True,False,True,True,True,True,False,True,False,False,True,False,True,True,True
HG00315,False,False,False,True,False,True,False,False,False,False,True,True,False,False,True,True,True,True,True,False,False,True,True,False,True,False,False
HG00318,True,False,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,True,True,False,False
HG00319,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,True
HG00320,False,True,True,False,False,True,False,True,True,True,False,True,False,True,True,True,True,True,False,False,True,True,False,True,False,True,False
HG00321,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,True,True,False,False,True,False,True,False,True,False,True
HG00323,True,False,True,False,False,True,False,False,True,False,True,True,True,False,True,True,False,True,False,False,True,True,False,False,False,False,True
HG00324,False,False,True,False,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,True,False,False,True,True,True,True
HG00325,False,True,False,False,True,True,False,False,True,False,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,False
HG00326,False,False,True,True,True,True,False,False,True,False,False,True,True,True,True,False,False,False,False,False,True,True,False,False,True,False,False
HG00327,False,True,True,False,True,True,False,True,True,True,True,True,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False
HG00328,False,False,False,True,False,True,True,False,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True
HG00329,True,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,True,False,True,False,False
HG00330,True,False,True,True,False,True,False,False,True,True,False,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,True
HG00331,False,True,False,True,True,False,True,False,False,False,True,True,False,False,True,False,False,True,True,True,False,False,False,True,True,True,False
HG00332,True,True,False,False,False,True,True,False,False,False,False,True,True,True,False,True,True,True,True,True,False,True,True,False,False,False,True
HG00334,False,False,True,True,True,True,False,False,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True
HG00335,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,False,False,True,True,True,False,False,True,False
HG00336,False,True,True,True,False,True,False,True,False,False,False,True,True,True,True,True,True,False,True,True,False,True,False,True,True,False,False
HG00337,False,False,False,True,False,False,False,True,True,True,True,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False
HG00338,False,False,True,True,True,True,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,True,True,True,False
HG00339,True,True,False,True,True,True,False,False,False,False,True,True,False,False,True,True,False,True,False,True,False,False,True,True,True,True,True
HG00341,False,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,False,True,False,False,True,False,False
HG00342,False,False,False,True,True,True,True,False,True,False,True,True,True,False,False,True,False,True,True,True,False,False,True,False,False,True,True
HG00343,False,False,False,True,False,False,False,True,True,False,False,False,True,True,True,False,True,True,False,False,False,True,True,False,True,True,False
HG00344,False,False,True,False,False,True,False,False,False,True,True,True,True,False,False,False,False,False,False,True,True,True,True,False,True,False,True
HG00345,False,False,False,True,True,False,False,False,True,True,True,True,False,True,False,False,True,True,False,True,True,True,True,True,True,True,False
HG00346,True,False,False,True,False,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,False,False,True,True,True,True
HG00349,False,True,False,True,False,True,False,False,False,False,True,True,True,True,False,False,False,True,False,True,False,True,False,True,True,False,False
HG00350,False,False,False,True,True,True,False,False,False,False,False,True,True,True,True,False,False,True,True,True,False,False,True,False,True,False,True
HG00351,False,True,True,True,False,True,True,False,True,False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,True,False,True
HG00353,True,True,True,False,False,True,False,True,False,False,True,True,True,True,True,False,False,True,False,False,False,True,False,False,True,True,False
HG00355,False,False,False,True,False,True,True,True,True,False,True,True,False,True,False,True,False,False,True,True,True,False,True,False,True,False,False
HG00356,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True
HG00357,False,True,False,True,False,True,False,False,True,True,False,True,True,False,False,False,True,False,True,True,True,False,False,False,True,True,True
HG00358,False,False,True,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,True,True,False,False,True,False,True,True,True
HG00360,False,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True
HG00361,False,False,True,True,True,True,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,True,True,True,False,True
HG00362,False,True,False,True,False,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,False,False,True,True,True,True,False
HG00364,False,True,False,True,False,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,False
HG00365,False,True,True,True,True,True,False,True,False,False,True,True,False,False,True,False,True,True,True,False,False,False,False,False,True,True,False
HG00366,False,True,False,False,False,True,True,False,False,True,True,True,True,False,False,True,True,True,False,True,False,False,True,False,True,True,True
HG00367,True,True,True,True,True,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True
HG00368,True,False,True,False,True,False,False,True,False,False,True,True,True,False,True,False,True,True,False,True,True,True,True,False,True,True,False
HG00369,False,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,True,False,True,True,True
HG00371,False,False,True,True,False,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False
HG00372,False,True,True,True,True,True,False,False,True,True,True,True,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False
HG00373,False,True,False,False,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,False,False,False,True,False,True,False,True
HG00375,True,True,True,False,False,True,False,False,False,True,False,True,True,True,True,False,True,True,False,False,True,True,False,False,False,False,False
HG00376,False,False,True,True,True,True,False,False,True,True,False,True,True,False,True,False,True,True,True,False,True,True,True,False,True,False,True
HG00378,True,False,False,True,True,False,True,False,False,False,False,False,True,True,True,True,False,True,False,False,False,False,True,True,True,True,True
HG00379,True,False,True,True,True,True,False,True,False,True,True,False,False,True,True,True,True,False,False,True,False,True,True,True,False,False,True
HG00380,True,False,False,False,True,True,False,False,False,False,False,True,False,False,True,True,True,True,False,True,False,False,True,False,True,True,True
HG00381,True,False,False,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,False,False,True,True,False,False,True,False,False
HG00382,False,True,False,False,False,False,False,True,True,False,False,True,True,False,False,True,False,True,True,True,True,True,True,True,False,True,False
HG00383,True,True,False,True,True,True,False,False,True,False,True,True,False,True,False,True,False,True,False,True,True,True,False,True,False,False,True
HG00384,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,True,True,True,True,False,False,True,True,False,True,False,False
HG00403,True,False,False,False,False,False,True,True,True,True,False,False,True,True,True,False,False,False,True,True,True,True,True,True,False,True,True
HG00404,True,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
HG00406,True,True,True,False,True,False,True,True,True,False,False,True,False,True,True,False,True,True,False,True,False,True,False,True,True,True,True
HG00407,True,True,True,False,False,True,True,False,True,True,False,True,False,False,False,False,True,True,False,False,True,True,True,True,True,True,False
HG00409,True,True,False,True,True,False,True,True,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False
HG00410,False,False,True,False,False,True,True,False,True,True,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False,False,True
HG00419,True,True,True,False,False,False,False,False,True,True,True,False,False,True,False,False,False,True,True,True,True,True,False,False,False,False,False
HG00421,False,False,False,False,False,False,True,True,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,True,True,False
HG00422,True,True,True,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,True,True,True,False,False,False,False,True,True
HG00428,False,True,False,False,False,False,False,True,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False
HG00436,True,True,False,True,True,False,False,False,True,True,False,True,True,False,True,False,False,False,True,True,True,True,False,True,True,False,True
HG00437,True,True,False,False,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True,False,False,True,True,True,False,False,True
HG00442,True,True,False,False,True,False,True,False,False,True,False,True,False,True,False,True,True,False,False,True,True,True,False,True,False,True,False
HG00443,True,False,False,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,True,False,False,False,True,False,False
HG00445,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,True,False,True,False,True,True,False,False
HG00446,True,True,False,False,True,False,True,True,False,True,False,True,True,True,True,True,False,True,False,False,False,False,True,True,False,False,False
HG00448,False,True,True,False,False,False,False,False,False,True,True,False,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False
HG00449,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,True,False,True,True,False,False,False,True,False,False,False,False
HG00451,True,True,True,False,True,False,True,False,True,True,True,False,False,False,True,True,True,False,False,True,True,False,True,True,True,False,False
HG00452,True,True,True,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,False,False,True,False,True,False
HG00457,True,True,True,True,False,False,True,True,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,True
HG00458,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,False,False,False,True,True,False,False,False,True,False,False,True
